input,output
"('mean ppid', 'Concept', 'human sars', 'Concept')",in-context
"('mean ppid', 'Concept', 'bat cov', 'Concept')",in-context
"('equal', 'Predicate', 'mean ppid', 'Concept')",domain
"('equal', 'Predicate', '1.96%', 'Predicate')",arg
"('sars-cov-2', 'Concept', 'transmission route', 'Concept')",has-property
"('air droplets', 'Concept', 'respiratory', 'Concept')",has-property
"('air droplets', 'Concept', 'transmission route', 'Concept')",is-a
"('sars-cov-2 infection', 'Concept', 'fever', 'Concept')",causes
"('sars-cov-2 infection', 'Concept', 'dry cough', 'Concept')",causes
"('sars-cov-2 infection', 'Concept', 'weakness', 'Concept')",causes
"('sars-cov-2 infection', 'Concept', 'breathing difficulty', 'Concept')",causes
"('viral entry', 'Concept', 'receptor-dependent', 'Concept')",has-property
"('viral entry', 'Concept', 'sars-cov-2 infection', 'Concept')",causes
"('sars-cov-2', 'Concept', 'invasion', 'Action')",subject
"('cells', 'Concept', 'host', 'Concept')",has-property
"('invasion', 'Action', 'cells', 'Concept')",target
"('receptors', 'Concept', 'cellular', 'Concept')",has-property
"('cd147', 'Concept', 'invasion', 'Action')",causes
"('sp', 'Concept', 'infection', 'Action')",causes
"('receptors', 'Concept', 'infection', 'Action')",subject
"('infection', 'Action', 'cells', 'Concept')",target
"('segment', 'Concept', 'disordered', 'Concept')",has-property
"('segment', 'Concept', '168-289 residues', 'Concept')",in-place
"('sars-cov-2', 'Concept', 'segment', 'Concept')",has-part
"('human sars', 'Concept', 'segment', 'Concept')",has-part
"('segment', 'Concept', 'unstructured', 'Concept')",has-property
"('segment', 'Concept', '145-289 residues', 'Concept')",in-place
"('carriage', 'Concept', 'dynamic process', 'Concept')",is-a
"('fluctuations', 'Action', 'species', 'Concept')",target
"('fluctuations', 'Action', 'strains', 'Concept')",target
"('carriage', 'Concept', 'fluctuations', 'Action')",causes
"('expressed', 'Action', 'at2 cells', 'Concept')",in-place
"('detected', 'Action', 'at1 cells', 'Concept')",in-place
"('detected', 'Action', 'ace2', 'Concept')",subject
"('expressed', 'Action', 'ace2', 'Concept')",subject
"('detected', 'Action', 'airway epithelial cells', 'Concept')",in-place
"('detected', 'Action', 'fibroblasts', 'Concept')",in-place
"('detected', 'Action', 'endothelial cells', 'Concept')",in-place
"('detected', 'Action', 'macrophages', 'Concept')",in-place
"('ccov', 'Concept', 'strain a76', 'Concept')",is-a
"('ccov', 'Concept', 's 103 protein', 'Concept')",has-part
"('s 103 protein', 'Concept', 'recombinant', 'Concept')",has-property
"('recombination', 'Action', 's 103 protein', 'Concept')",causes
"('recombination', 'Action', 'serotype i', 'Concept')",target
"('ii ccov', 'Concept', 'sequences', 'Concept')",is-a
"('serotype i', 'Concept', 'sequences', 'Concept')",is-a
"('recombination', 'Action', 'ii ccov', 'Concept')",target
"('produce', 'Action', 'macrophages', 'Concept')",subject
"('produce', 'Action', 'monocytes', 'Concept')",subject
"('cytokine', 'Concept', 'pro-inflammatory', 'Concept')",has-property
"('produce', 'Action', 'cytokine', 'Concept')",target
"('produce', 'Action', 'hepatitis virus strain-3 infection', 'Concept')",in-time
"('hepatitis virus strain-3 infection', 'Concept', 'murine', 'Concept')",in-context
"('release', 'Action', 'cytokine', 'Concept')",target
"('triggers', 'Action', 'sars-cov-2', 'Concept')",subject
"('triggers', 'Action', 'release', 'Action')",target
"('release', 'Action', 'monocytes', 'Concept')",subject
"('release', 'Action', 'macrophages', 'Concept')",subject
"('release', 'Action', 'covid-19 patients', 'Concept')",in-place
"('loops', 'Concept', 'long', 'Concept')",in-context
"('loops', 'Concept', 'flexible', 'Concept')",in-context
"('residues', 'Concept', 'aromatic', 'Concept')",in-context
"('nine', 'Predicate', 'residues', 'Concept')",domain
"('tyr', 'Concept', 'residues', 'Concept')",is-a
"('trp', 'Concept', 'residues', 'Concept')",is-a
"('phe', 'Concept', 'residues', 'Concept')",is-a
"('interface', 'Concept', 'ace2', 'Concept')",in-place
"('interfaces', 'Concept', 'sars-2002', 'Concept')",in-place
"('interfaces', 'Concept', 'covid-19', 'Concept')",in-place
"('loops', 'Concept', 'interfaces', 'Concept')",part-of
"('nine', 'Predicate', 'interfaces', 'Concept')",part-of
"('nine', 'Predicate', 'interface', 'Concept')",part-of
"('protein complex', 'Concept', 'hetero-hexadecamer', 'Concept')",in-context
"('crystal packing', 'Concept', 'nsp7-nsp8', 'Concept')",in-place
"('formation', 'Action', 'crystal packing', 'Concept')",in-place
"('formation', 'Action', 'protein complex', 'Concept')",target
"('families', 'Concept', 'hcws', 'Concept')",in-context
"('suffer', 'Action', 'families', 'Concept')",subject
"('epidemic', 'Concept', 'covid-19', 'Concept')",in-context
"('suffer', 'Action', 'epidemic', 'Concept')",in-time
"('problems', 'Concept', 'psychological', 'Concept')",in-context
"('suffer', 'Action', 'problems', 'Concept')",target
"('problems', 'Concept', 'hcws', 'Concept')",in-place
"('problems', 'Concept', 'similar', 'Predicate')",has-property
"('similar', 'Predicate', 'problems', 'Concept')",arg
"('perception', 'Action', 'covid-19', 'Concept')",target
"('perception', 'Action', 'positive', 'Concept')",has-property
"('78%', 'Predicate', 'hcws', 'Concept')",domain
"('perception', 'Action', '78%', 'Predicate')",subject
"('failure', 'Action', 'heart', 'Concept')",target
"('group', 'Concept', 'covid-19', 'Concept')",in-context
"('group', 'Concept', 'failure', 'Action')",in-context
"('disease', 'Concept', 'cardiovascular', 'Concept')",in-context
"('disease', 'Concept', 'group', 'Concept')",in-place
"('more', 'Predicate', 'patients', 'Concept')",domain
"('disease', 'Concept', 'more', 'Predicate')",has-property
"('more', 'Predicate', 'disease', 'Concept')",arg
"('mental health problems', 'Concept', 'hcws', 'Concept')",in-context
"('stress', 'Concept', 'mental health problems', 'Concept')",is-a
"('anxiety', 'Concept', 'mental health problems', 'Concept')",is-a
"('depressive symptoms', 'Concept', 'mental health problems', 'Concept')",is-a
"('covid-19', 'Concept', 'china', 'Concept')",in-place
"('covid-19', 'Concept', 'mental health problems', 'Concept')",causes
"('covid-19', 'Concept', 'severe', 'Concept')",has-property
"('spread', 'Action', 'covid-19', 'Concept')",subject
"('spread', 'Action', 'rapidly', 'Concept')",has-property
"('spread', 'Action', 'wuhan', 'Concept')",in-place
"('severity', 'Concept', 'wide spectrum', 'Concept')",has-property
"('covid-19', 'Concept', 'severity', 'Concept')",has-property
"('binds', 'Action', 'sars-cov-2', 'Concept')",subject
"('binds', 'Action', 'ace2 receptors', 'Concept')",target
"('binds', 'Action', 'sars-cov', 'Concept')",subject
"('binds', 'Action', '10-20 fold higher affinity', 'Concept')",has-property
"('10-20 fold higher affinity', 'Concept', 'binds', 'Action')",in-context
"('genes', 'Concept', 'new', 'Predicate')",has-property
"('orf8', 'Concept', 'genes', 'Concept')",is-a
"('orf6', 'Concept', 'genes', 'Concept')",is-a
"('orf8', 'Concept', 'covid-19', 'Concept')",in-place
"('orf6', 'Concept', 'covid-19', 'Concept')",in-place
"('orf6', 'Concept', 'hcov-hku1', 'Concept')",in-place
"('orf8', 'Concept', 'hcov-hku1', 'Concept')",in-place
"('virus', 'Concept', 'covid-19', 'Concept')",in-context
"('virus', 'Concept', 'similar', 'Concept')",has-property
"('similar', 'Concept', 'severe acute respiratory syndrome coronavirus', 'Concept')",in-context
"('severe acute respiratory syndrome coronavirus', 'Concept', 'sars-cov', 'Concept')",same-as
"('coronavirus', 'Concept', 'sars', 'Concept')",causes
"('coronavirus', 'Concept', 'covid-19', 'Concept')",causes
"('similarities', 'Concept', 'coronavirus', 'Concept')",in-context
"('coronavirus', 'Concept', 'similarities', 'Concept')",has-property
"('antiviral activity', 'Concept', 'potent', 'Concept')",has-property
"('gas', 'Concept', 'antiviral activity', 'Concept')",has-property
"('antiviral activity', 'Concept', '2019-ncov', 'Concept')",in-context
"('2019-ncov', 'Concept', 'sars-cov-2', 'Concept')",causes
"('decrease', 'Action', 'persisting', 'Concept')",has-property
"('decrease', 'Action', 'lymphocytes', 'Concept')",target
"('disease', 'Concept', 'severe', 'Concept')",in-context
"('indicator', 'Concept', 'disease', 'Concept')",in-context
"('decrease', 'Action', 'indicator', 'Concept')",is-a
"('criterion', 'Concept', 'diagnosis', 'Action')",in-context
"('diagnosis', 'Action', 'covid-19', 'Concept')",target
"('decrease', 'Action', 'criterion', 'Concept')",is-a
"('increases', 'Action', 'temperature', 'Concept')",subject
"('increases', 'Action', 'doubling time', 'Concept')",target
"('increases', 'Action', 'spread', 'Action')",entails
"('fever', 'Concept', 'less', 'Action')",has-property
"('less', 'Action', 'widespread', 'Concept')",target
"('less', 'Action', 'sars-cov', 'Concept')",in-context
"('less', 'Action', 'mers-cov', 'Concept')",in-context
"('widespread', 'Concept', 'covid-19', 'Concept')",in-context
"('mean', 'Concept', 'incubation', 'Concept')",in-context
"('median', 'Concept', 'incubation', 'Concept')",in-context
"('incubation', 'Concept', 'covid-19', 'Concept')",in-context
"('5.0', 'Predicate', 'days', 'Predicate')",in-context
"('5.84', 'Predicate', 'days', 'Predicate')",in-context
"('mean', 'Concept', '5.84', 'Predicate')",same-as
"('median', 'Concept', '5.0', 'Predicate')",same-as
"('detection', 'Action', 'sars-cov-2', 'Concept')",target
"('detection', 'Action', 'positive', 'Concept')",has-property
"('specimens', 'Concept', 'clinical', 'Concept')",has-property
"('specimens', 'Concept', 'upper respiratory tract', 'Concept')",in-place
"('detection', 'Action', 'specimens', 'Concept')",in-context
"('detection', 'Action', 'differences', 'Concept')",is-a
"('differences', 'Concept', 'clinical pathology', 'Concept')",in-context
"('sars', 'Concept', 'differences', 'Concept')",has-property
"('differences', 'Concept', 'covid-19', 'Concept')",in-context
"('signaling pathway', 'Concept', 'interferon-mapk', 'Concept')",in-context
"('response', 'Action', 'blood immune', 'Concept')",has-property
"('infection', 'Action', 'covid-19', 'Concept')",subject
"('response', 'Action', 'infection', 'Action')",target
"('signaling pathway', 'Concept', 'response', 'Action')",is-a
"('identify', 'Action', 'challenge', 'Concept')",has-property
"('identify', 'Action', 'doctors', 'Concept')",subject
"('identify', 'Action', 'covid-19', 'Concept')",target
"('covid-19', 'Concept', 'pneumonia', 'Concept')",is-a
"('contact', 'Action', 'initial', 'Concept')",has-property
"('identify', 'Action', 'epidemic period', 'Concept')",in-time
"('identify', 'Action', 'contact', 'Action')",in-time
"('identify', 'Action', 'patients', 'Concept')",in-place
"('patients', 'Concept', 'heart failure', 'Concept')",has-property
"('covid-19', 'Concept', 'samples', 'Concept')",in-context
"('mers', 'Concept', 'samples', 'Concept')",in-context
"('btcov', 'Concept', 'samples', 'Concept')",in-context
"('mhv', 'Concept', 'samples', 'Concept')",in-context
"('rt-lamp reactions', 'Concept', 'positive', 'Concept')",has-property
"('samples', 'Concept', 'rt-lamp reactions', 'Concept')",has-property
"('samples', 'Concept', 'specificity', 'Concept')",entails
"('specificity', 'Concept', 'rt-lamp reactions', 'Concept')",in-place
"('specificity', 'Concept', 'covid-19', 'Concept')",in-context
"('rt-lamp reactions', 'Concept', 'reaction', 'Concept')",is-a
"('low', 'Concept', 'account', 'Predicate')",in-context
"('account', 'Predicate', 'cd8 + t', 'Concept')",domain
"('cd8 + t', 'Concept', 'cells', 'Concept')",is-a
"('patients', 'Concept', 'covid-19', 'Concept')",in-context
"('one-third', 'Predicate', 'patients', 'Concept')",domain
"('<190/µl', 'Predicate', 'account', 'Predicate')",domain
"('patients', 'Concept', 'pneumonia', 'Concept')",entails
"('one-third', 'Predicate', 'low', 'Concept')",has-property
"('low', 'Concept', '<190/µl', 'Predicate')",same-as
"('affects', 'Action', 'covid-19', 'Concept')",subject
"('affects', 'Action', 'youth', 'Concept')",target
"('affects', 'Action', 'elderly', 'Concept')",target
"('wide-range', 'Predicate', 'patients', 'Concept')",domain
"('affects', 'Action', 'wide-range', 'Predicate')",target
"('indicated', 'Action', 'data', 'Concept')",subject
"('indicated', 'Action', 'covid-19', 'Concept')",target
"('covid-19', 'Concept', 'injury', 'Concept')",causes
"('injury', 'Concept', 'organic', 'Concept')",in-context
"('injury', 'Concept', 'multiple', 'Concept')",has-property
"('spreads', 'Action', 'covid-19', 'Concept')",target
"('isolation', 'Action', 'people', 'Concept')",target
"('avoidance', 'Concept', 'social', 'Concept')",in-context
"('policies', 'Concept', 'quarantine', 'Concept')",in-context
"('reduce', 'Action', 'isolation', 'Action')",subject
"('reduce', 'Action', 'avoidance', 'Concept')",subject
"('reduce', 'Action', 'policies', 'Concept')",subject
"('reduce', 'Action', 'detection', 'Action')",subject
"('detection', 'Action', 'faster', 'Concept')",has-property
"('detection', 'Action', 'cases', 'Concept')",target
"('cases', 'Concept', 'infected', 'Concept')",has-property
"('reduce', 'Action', 'growth', 'Action')",target
"('spreads', 'Action', 'reduce', 'Action')",entails
"('spreads', 'Action', 'human', 'Concept')",target
"('growth', 'Action', 'covid-19', 'Concept')",target
"('t cells', 'Concept', 'decreased', 'Concept')",in-context
"('t cells', 'Concept', 'exhausted', 'Concept')",in-context
"('patients', 'Concept', 't cells', 'Concept')",has-property
"('patients', 'Concept', 'severe', 'Concept')",in-context
"('population', 'Predicate', 'lung macrophage', 'Concept')",domain
"('increased', 'Action', 'population', 'Predicate')",target
"('increased', 'Action', 'patients', 'Concept')",in-place
"('covid-19', 'Concept', 'incubation period', 'Concept')",has-property
"('incubation period', 'Concept', 'long', 'Concept')",has-property
"('incubation period', 'Concept', 'time delay', 'Concept')",causes
"('dynamic', 'Concept', 'real', 'Concept')",has-property
"('between', 'Predicate', 'numbers', 'Predicate')",arg
"('case', 'Concept', 'dynamic', 'Concept')",in-context
"('case', 'Concept', 'dailyobserved', 'Concept')",in-context
"('numbers', 'Predicate', 'case', 'Concept')",domain
"('time delay', 'Concept', 'between', 'Predicate')",in-context
"('transmission', 'Action', 'covid-19', 'Concept')",subject
"('transmission', 'Action', 'sustained', 'Concept')",has-property
"('transmission', 'Action', 'currently', 'Concept')",in-time
"('transmission', 'Action', 'china', 'Concept')",in-place
"('pneumonia', 'Concept', 'severe', 'Concept')",in-context
"('pneumonia', 'Concept', 'covid-19', 'Concept')",in-context
"('airway', 'Concept', 'deep', 'Concept')",in-context
"('destruction', 'Action', 'airway', 'Concept')",target
"('destruction', 'Action', 'alveolar', 'Concept')",target
"('inflammation', 'Action', 'destruction', 'Action')",causes
"('pathological process', 'Concept', 'inflammation', 'Action')",is-a
"('pathological process', 'Concept', 'pneumonia', 'Concept')",in-context
"('85', 'Predicate', 'countries', 'Concept')",domain
"('spread', 'Action', '85', 'Predicate')",in-place
"('spread', 'Action', 'currently', 'Concept')",in-time
"('spread', 'Action', 'rapid', 'Concept')",in-context
"('most', 'Predicate', 'national authorities', 'Concept')",domain
"('contained', 'Action', 'most', 'Predicate')",subject
"('contained', 'Action', 'spread', 'Action')",target
"('response', 'Action', 'delayed', 'Concept')",in-context
"('infection', 'Action', 'severe', 'Concept')",in-context
"('hyper inflammation', 'Concept', 'bystander activation', 'Concept')",causes
"('bystander activation', 'Concept', 'it', 'Reference')",causes
"('response', 'Action', 'it', 'Reference')",causes
"('epidemiological curves', 'Concept', 'covid-19', 'Concept')",in-context
"('progression', 'Action', 'covid-19', 'Concept')",target
"('showed', 'Action', 'progression', 'Action')",target
"('progression', 'Action', 'outbreak', 'Concept')",in-time
"('showed', 'Action', 'epidemiological curves', 'Concept')",subject
"('covid-19', 'Concept', 'illness', 'Concept')",is-a
"('from', 'Predicate', 'december 8 2019', 'Concept')",arg
"('up to', 'Predicate', 'february 11 2020', 'Concept')",arg
"('outbreak', 'Concept', 'from', 'Predicate')",in-time
"('outbreak', 'Concept', 'up to', 'Predicate')",in-time
"('72314', 'Predicate', 'cases', 'Concept')",domain
"('cases', 'Concept', 'confirmed', 'Concept')",in-context
"('geo-temporal spread', 'Action', 'covid- 19', 'Concept')",target
"('geo-temporal spread', 'Action', 'cases', 'Concept')",has-property
"('outbreak', 'Concept', '72314', 'Predicate')",has-property
"('levels', 'Predicate', 'cardiac marker', 'Concept')",domain
"('levels', 'Predicate', 'over half', 'Predicate')",has-property
"('over half', 'Predicate', 'patients', 'Concept')",domain
"('56.6%', 'Predicate', 'patients', 'Concept')",domain
"('56.6%', 'Predicate', 'levels', 'Predicate')",has-property
"('correlation', 'Concept', 'positive', 'Concept')",in-context
"('correlation', 'Concept', 'strong', 'Concept')",has-property
"('after', 'Predicate', 'illness', 'Concept')",domain
"('after', 'Predicate', '2-week', 'Concept')",arg
"('correlation', 'Concept', 'after', 'Predicate')",in-time
"('correlation', 'Concept', 'patients', 'Concept')",in-place
"('between', 'Predicate', 'clinical severity', 'Concept')",arg
"('between', 'Predicate', 'antibody titer', 'Concept')",arg
"('correlation', 'Concept', 'between', 'Predicate')",in-context
"('patients', 'Concept', 'covid-19 confirmed', 'Concept')",in-context
"('116', 'Predicate', 'patients', 'Concept')",domain
"('54', 'Concept', 'years', 'Concept')",in-context
"('median', 'Predicate', 'age', 'Concept')",arg
"('median', 'Predicate', '116', 'Predicate')",domain
"('median', 'Predicate', '54', 'Concept')",has-property
"('67', 'Predicate', 'male', 'Concept')",domain
"('67', 'Predicate', '116', 'Predicate')",part-of
"('care', 'Concept', 'enhanced', 'Concept')",in-context
"('require', 'Action', 'rare', 'Concept')",has-property
"('require', 'Action', 'care', 'Concept')",target
"('patients', 'Concept', 'suspected case', 'Concept')",in-context
"('require', 'Action', 'patients', 'Concept')",subject
"('covid-19', 'Concept', 'uk', 'Concept')",in-place
"('covid-19', 'Concept', 'rare', 'Concept')",has-property
"('covid-19', 'Concept', 'require', 'Action')",entails
"('illness', 'Concept', 'respiratory', 'Concept')",in-context
"('illness', 'Concept', 'severe', 'Concept')",in-context
"('ventilation', 'Concept', 'mechanical', 'Concept')",in-context
"('ventilation', 'Concept', 'non-invasive', 'Concept')",in-context
"('requiring', 'Action', 'ventilation', 'Concept')",target
"('requiring', 'Action', 'illness', 'Concept')",subject
"('outbreak', 'Action', 'sars', 'Concept')",subject
"('outbreak', 'Action', '2002/2003', 'Concept')",in-time
"('severity', 'Predicate', 'covid-19', 'Concept')",arg
"('age', 'Concept', 'increased', 'Concept')",in-context
"('severity', 'Predicate', 'associated', 'Concept')",has-property
"('associated', 'Concept', 'age', 'Concept')",in-context
"('associated', 'Concept', 'comorbidity', 'Concept')",in-context
"('age', 'Concept', 'risk groups', 'Concept')",is-a
"('comorbidity', 'Concept', 'risk groups', 'Concept')",is-a
"('limited to', 'Action', 'disease', 'Concept')",subject
"('limited to', 'Action', 'age', 'Concept')",target
"('limited to', 'Action', 'comorbidity', 'Concept')",target
"('spread', 'Action', 'faster', 'Concept')",has-property
"('faster', 'Concept', 'sars', 'Concept')",in-context
"('spread dynamics', 'Concept', 'spread', 'Action')",entails
"('spread dynamics', 'Concept', 'complicate', 'Concept')",in-context
"('covid-19', 'Concept', 'contagious', 'Concept')",has-property
"('contagious', 'Concept', 'sars', 'Concept')",in-context
"('infected', 'Action', 'people', 'Concept')",target
"('infected', 'Action', 'covid-19', 'Concept')",subject
"('infected', 'Action', 'easily', 'Concept')",has-property
"('infected', 'Action', 'close contact', 'Concept')",in-context
"('people', 'Concept', 'protection', 'Concept')",in-context
"('24', 'Predicate', 'patients', 'Concept')",domain
"('24', 'Predicate', 'elevation', 'Action')",has-property
"('elevation', 'Action', 'levels', 'Predicate')",target
"('levels', 'Predicate', 'myocardial enzymes', 'Concept')",domain
"('markers', 'Predicate', 'myocardial damage', 'Concept')",arg
"('definition', 'Predicate', 'myocardial injury', 'Concept')",arg
"('meet', 'Action', 'markers', 'Predicate')",subject
"('meet', 'Action', 'definition', 'Predicate')",target
"('ncp type', 'Concept', 'common', 'Concept')",has-property
"('most', 'Predicate', 'ncp type', 'Concept')",has-property
"('recovery', 'Action', 'most', 'Predicate')",subject
"('recovery', 'Action', 'quick', 'Concept')",has-property
"('exhibited', 'Action', '58.33%', 'Predicate')",subject
"('exhibited', 'Action', 'lv dysfunction', 'Concept')",target
"('exhibited', 'Action', 'echo', 'Concept')",in-context
"('24', 'Predicate', 'meet', 'Action')",has-property
"('most', 'Predicate', 'markers', 'Predicate')",domain
"('58.33%', 'Predicate', 'patients', 'Concept')",domain
"('levels', 'Predicate', 'very high', 'Concept')",has-property
"('il-10', 'Concept', 'serum', 'Concept')",is-a
"('levels', 'Predicate', 'il-10', 'Concept')",domain
"('patients', 'Concept', 'levels', 'Predicate')",has-property
"('patients', 'Concept', 'following', 'Predicate')",in-time
"('following', 'Predicate', 'infection', 'Action')",arg
"('infection', 'Action', 'sars-cov-2', 'Concept')",subject
"('levels', 'Predicate', 'high', 'Concept')",has-property
"('levels', 'Predicate', 't cells', 'Concept')",in-place
"('tim-3', 'Concept', 'exhaustion markers', 'Concept')",is-a
"('pd-1', 'Concept', 'exhaustion markers', 'Concept')",is-a
"('levels', 'Predicate', 'pd-1', 'Concept')",domain
"('levels', 'Predicate', 'tim-3', 'Concept')",domain
"('130', 'Predicate', 'cities', 'Concept')",domain
"('cities', 'Concept', 'china', 'Concept')",in-place
"('rates', 'Predicate', 'epidemic growth', 'Concept')",domain
"('epidemic growth', 'Concept', 'early', 'Concept')",in-context
"('130', 'Predicate', '≥50% chance', 'Concept')",has-property
"('case', 'Concept', 'covid-19', 'Concept')",in-context
"('from', 'Predicate', 'wuhan', 'Concept')",arg
"('preceding', 'Predicate', '3 weeks', 'Concept')",arg
"('preceding', 'Predicate', 'quarantine', 'Concept')",domain
"('case', 'Concept', 'from', 'Predicate')",in-place
"('case', 'Concept', 'preceding', 'Predicate')",in-time
"('≥50% chance', 'Concept', 'case', 'Concept')",in-context
"('paying attention', 'Action', '81.1%', 'Predicate')",subject
"('paying attention', 'Action', 'epidemic', 'Concept')",target
"('4.32%', 'Predicate', 'parents', 'Concept')",domain
"('adjust', 'Action', '4.32%', 'Predicate')",subject
"('adjust', 'Action', 'medication dosage', 'Concept')",target
"('knowledge', 'Concept', 'medical', 'Concept')",in-context
"('experience', 'Concept', 'medical', 'Concept')",in-context
"('adjust', 'Action', 'based on', 'Predicate')",in-context
"('knowledge', 'Concept', 'previous', 'Concept')",in-time
